album, song, text
SOUR, drivers_license, "'Cause they'll never know you the way that I do"
SOUR, drivers_license, "Yeah, today I drove through the suburbs"
SOUR, drivers_license, "And pictured I was driving home to you"
SOUR, drivers_license, ""
SOUR, drivers_license, "And I know we weren't perfect but I've never felt this way for no one"
SOUR, drivers_license, "Oh, and I just can't imagine how you could be so okay now that I'm gone"
SOUR, drivers_license, "I guess you didn't mean what you wrote in that song about me"
SOUR, drivers_license, "'Cause you said forever now I drive alone past your street"
SOUR, drivers_license, ""
SOUR, drivers_license, "Red lights"
SOUR, drivers_license, "Stop signs"
SOUR, drivers_license, "I still see your face"
SOUR, drivers_license, "In the white cars"
SOUR, drivers_license, "Front yards"
SOUR, drivers_license, "Can't drive past the places"
SOUR, drivers_license, "We used to"
SOUR, drivers_license, "Go to"
SOUR, drivers_license, "'Cause I still fucking love you, babe"
SOUR, drivers_license, ""
SOUR, drivers_license, "Sidewalks"
SOUR, drivers_license, "We crossed"
SOUR, drivers_license, "I still hear your voice"
SOUR, drivers_license, "In the traffic"
SOUR, drivers_license, "We're laughing"
SOUR, drivers_license, "Over all the noise"
SOUR, drivers_license, "God, I'm so blue"
SOUR, drivers_license, "Know we're through"
SOUR, drivers_license, "But I still fucking love you, babe"
SOUR, drivers_license, ""
SOUR, drivers_license, "I know we weren't perfect but I've never felt this way for no one"
SOUR, drivers_license, "And I just can't imagine how you could be so okay now that I'm gone"
SOUR, drivers_license, "Guess you didn't mean what you wrote in that song about me"
SOUR, drivers_license, "'Cause you said forever now I drive alone past your street"
SOUR, drivers_license, "Yeah, you said forever now I drive alone past your street"
SOUR, good_4_u, "Well good for you, I guess you moved on really easily"
SOUR, good_4_u, "You found a new girl and it only took a couple weeks"
SOUR, good_4_u, "Remember when you said that you wanted to give me the world"
SOUR, good_4_u, ""
SOUR, good_4_u, "And good for you, I guess that you've been working on yourself"
SOUR, good_4_u, "I guess that therapist I found for you, she really helped"
SOUR, good_4_u, "Now you can be a better man for your brand new girl"
SOUR, good_4_u, ""
SOUR, good_4_u, "Well good for you"
SOUR, good_4_u, "You look happy and healthy, not me"
SOUR, good_4_u, "If you ever cared to ask"
SOUR, good_4_u, "Good for you"
SOUR, good_4_u, "You're doing great out there without me, baby"
SOUR, good_4_u, "God, I wish that I could do that"
SOUR, good_4_u, ""
SOUR, good_4_u, "I've lost my mind"
SOUR, good_4_u, "I've spent the night"
SOUR, good_4_u, "Crying on the floor of my bathroom"
SOUR, good_4_u, "But you're so unaffected, I really don't get it"
SOUR, good_4_u, "But I guess good for you"
SOUR, good_4_u, ""
SOUR, good_4_u, "Well good for you, I guess you're getting everything you want"
SOUR, good_4_u, "You bought a new car and your career's really taking off"
SOUR, good_4_u, "It's like we never even happened, baby"
SOUR, good_4_u, "What the fuck is up with that?"
SOUR, good_4_u, ""
SOUR, good_4_u, "And good for you, it's like you never even met me"
SOUR, good_4_u, "Remember when you swore to God I was the only"
SOUR, good_4_u, "Person who ever got you"
SOUR, good_4_u, "Well, screw that and screw you"
SOUR, good_4_u, "You will never have to hurt the way you know that I do"
SOUR, good_4_u, ""
SOUR, good_4_u, "Well good for you"
SOUR, good_4_u, "You look happy and healthy, not me"
SOUR, good_4_u, "If you ever cared to ask"
SOUR, good_4_u, "Good for you"
SOUR, good_4_u, "You're doing great out there without me, baby"
SOUR, good_4_u, "God, I wish that I could do that"
SOUR, good_4_u, ""
SOUR, good_4_u, "I've lost my mind"
SOUR, good_4_u, "I've spent the night"
SOUR, good_4_u, "Crying on the floor of my bathroom"
SOUR, good_4_u, "But you're so unaffected, I really don't get it"
SOUR, good_4_u, "But I guess good for you"
SOUR, good_4_u, ""
SOUR, good_4_u, "Maybe I'm too emotional"
SOUR, good_4_u, "But your apathy's like a wound in salt"
SOUR, good_4_u, "Maybe I'm too emotional"
SOUR, good_4_u, "Or maybe you never cared at all"
SOUR, good_4_u, "Maybe I'm too emotional"
SOUR, good_4_u, "Your apathy's like a wound in salt"
SOUR, good_4_u, "Maybe I'm too emotional"
SOUR, good_4_u, "Or maybe you never cared at all"
SOUR, good_4_u, ""
SOUR, good_4_u, "Well good for you"
SOUR, good_4_u, "You look happy and healthy, not me"
SOUR, good_4_u, "If you ever cared to ask"
SOUR, good_4_u, "Good for you"
SOUR, good_4_u, "You're doing great out there without me, baby"
SOUR, good_4_u, "Like a damn sociopath"
SOUR, good_4_u, ""
SOUR, good_4_u, "I've lost my mind"
SOUR, good_4_u, "I've spent the night"
SOUR, good_4_u, "Crying on the floor of my bathroom"
SOUR, good_4_u, "But you're so unaffected, I really don't get it"
SOUR, good_4_u, "But I guess good for you"
SOUR, good_4_u, ""
SOUR, good_4_u, "Well good for you, I guess you moved on really easily"
SOUR, traitor, "Ooh-ooh-ooh"
SOUR, traitor, "Ah-ah-ah-ah-ah"
SOUR, traitor, ""
SOUR, traitor, "Brown guilty eyes and little white lies, yeah"
SOUR, traitor, "I played dumb, but I always knew"
SOUR, traitor, "That you talked to her, maybe did even worse"
SOUR, traitor, "I kept quiet so I could keep you"
SOUR, traitor, ""
SOUR, traitor, "And ain't it funny how you ran to her"
SOUR, traitor, "The second that we called it quits?"
SOUR, traitor, "And ain't it funny how you said you were friends?"
SOUR, traitor, "Now it sure as hell don't look like it"
SOUR, traitor, ""
SOUR, traitor, "You betrayed me"
SOUR, traitor, "And I know that you'll never feel sorry"
SOUR, traitor, "For the way I hurt, yeah"
SOUR, traitor, "You talked to her when we were together"
SOUR, traitor, "Loved you at your worst, but that didn't matter"
SOUR, traitor, "It took you two weeks to go off and date her"
